feature,importance
report__confidence_rem_latency_aasm_std,0.0008493306585238368
h5__eeg1_theta_power_median_std,0.0008481119019375263
h5__eeg2_skew_mean_median,0.0008388136750497642
h5__eeg2_theta_power_mean_median,0.0008355450244008267
h5__eeg3_total_power_0p5_30_median_max,0.0008333333333333333
h5__eeg3_beta_power_std_median,0.0008324647801418181
h5__eeg1_delta_relative_power_std_median,0.0008322109863558921
report__quality_index_F8_O1_max,0.0008312982169253909
h5__eeg2_delta_power_std_median,0.000829679391073695
h5__eeg2_theta_relative_power_median_std,0.0008272390007575809
report__nrem_duration_max,0.0008253850518632983
report__confidence_n2_latency_aasm_std,0.0008196195287136523
report__confidence_n2_percentage_median,0.0008170902191310894
h5__eeg1_zero_crossings_median_min,0.0008144203976058681
h5__eeg2_delta_relative_power_mean_min,0.0008143059726393053
h5__eeg4_skew_mean_median,0.0008136057215207201
h5__eeg2_hjorth_mobility_median_max,0.0008129189146705584
h5__eeg1_delta_beta_ratio_mean_min,0.0008124312959117794
report__quality_index_F7_O2_std,0.0008102057346282434
h5__eeg4_total_power_0p5_30_mean_min,0.00080756134733557
h5__eeg2_delta_power_median_median,0.0008041134875428986
h5__eeg2_std_median_mean,0.0008002861415377968
h5__eeg4_kurtosis_std_mean,0.0007968481875235534
h5__eeg4_sigma_relative_power_median_mean,0.000795454545454544
h5__eeg2_alpha_relative_power_mean_max,0.0007946656893992346
h5__eeg3_delta_beta_ratio_std_min,0.0007929212866707319
h5__eeg1_skew_mean_mean,0.0007909534063691675
h5__eeg3_hjorth_complexity_std_std,0.000790570214318369
h5__eeg4_beta_power_mean_std,0.0007875443813870514
h5__eeg2_theta_power_median_min,0.0007872127345561883
h5__N2_percentage_std,0.0007834593335247091
h5__eeg1_kurtosis_median_max,0.000782851919854198
h5__eeg4_zero_crossings_median_std,0.0007821878124948963
report__record_quality_index_median,0.0007819214876033067
report__rem_latency_mean,0.0007813460924548624
report__confidence_lrem4_std,0.0007806521733440512
h5__eeg4_hjorth_complexity_mean_median,0.0007794682571172786
report__n2_duration_max,0.0007772775180864103
report__proportion_off_head_mean,0.0007761826710340546
h5__eeg1_skew_std_max,0.0007748283301688086
h5__eeg2_skew_mean_std,0.000774734015313057
h5__eeg2_theta_power_mean_min,0.000774107856571887
h5__eeg1_alpha_power_mean_median,0.0007719906022899913
h5__eeg4_theta_power_median_max,0.0007710875398423948
report__confidence_rem_percentage_median,0.0007664492342597841
h5__eeg2_delta_sigma_ratio_median_std,0.0007660697525088725
h5__eeg1_beta_relative_power_std_mean,0.0007645609936683964
report__quality_index_F8_O2_min,0.0007642705277220392
h5__eeg1_kurtosis_mean_max,0.0007624905448053523
h5__eeg4_delta_beta_ratio_mean_mean,0.0007581596854290646
report__record_quality_index_min,0.0007568616555528545
h5__eeg3_delta_beta_ratio_mean_std,0.0007545755406757485
h5__eeg2_total_power_0p5_30_std_min,0.0007526055954073049
h5__eeg3_theta_alpha_ratio_median_std,0.000752310077052836
h5__eeg3_delta_beta_ratio_std_max,0.0007502735129302928
h5__eeg1_delta_power_median_max,0.0007488261753448339
h5__eeg2_total_power_0p5_30_median_min,0.0007423747276688461
h5__eeg1_beta_relative_power_mean_std,0.0007394399154098882
h5__Wake_epochs_mean,0.0007340278993557077
h5__sleep_efficiency_epoch_ratio_mean,0.0007332387245316566
h5__eeg4_skew_mean_min,0.0007316759935948271
h5__eeg1_alpha_power_mean_max,0.0007305186575302052
h5__eeg1_delta_beta_ratio_std_median,0.0007296107755795747
h5__eeg2_std_std_min,0.0007247902429912358
h5__eeg2_theta_relative_power_std_max,0.0007171196273855954
report__rem_latency_aasm_max,0.0007163098878695207
h5__eeg3_delta_relative_power_std_max,0.0007151580719816777
h5__eeg2_std_std_max,0.0007145218210323647
h5__eeg1_theta_relative_power_std_max,0.0007140816182431075
h5__eeg2_sigma_power_mean_median,0.0007138740716979934
h5__eeg1_delta_relative_power_median_mean,0.0007108103050402631
h5__eeg4_alpha_relative_power_median_std,0.0007100664012428729
report__confidence_n2_latency_aasm_mean,0.0007091437030225622
h5__eeg2_std_std_std,0.0007054504280423081
h5__eeg4_beta_relative_power_mean_max,0.0007042155829821388
report__n1_percentage_median,0.0007035634348012418
h5__eeg2_zero_crossings_mean_min,0.0007032765743762983
report__rem_percentage_max,0.0006958505347633402
h5__eeg1_beta_relative_power_std_std,0.0006954946749738206
h5__eeg4_sigma_relative_power_median_max,0.0006911764705882352
h5__eeg4_alpha_relative_power_median_max,0.0006904335974103412
h5__eeg3_delta_relative_power_median_median,0.0006874157718981744
report__confidence_waso_aasm_min,0.0006868937113678822
h5__eeg1_beta_power_mean_max,0.0006866300120265415
h5__eeg3_skew_std_mean,0.0006865204839153135
h5__eeg2_theta_alpha_ratio_median_std,0.0006857739903007603
h5__eeg4_delta_beta_ratio_median_median,0.0006856187290969904
h5__eeg4_sigma_relative_power_std_mean,0.0006745842921628484
h5__eeg1_theta_relative_power_std_median,0.0006704756976431205
h5__eeg2_hjorth_complexity_std_median,0.000668707813180176
h5__eeg4_total_power_0p5_30_std_std,0.0006685715455653461
h5__eeg1_beta_relative_power_std_min,0.0006643336382919715
h5__eeg2_sigma_relative_power_median_min,0.0006616597896713759
h5__eeg2_total_power_0p5_30_mean_median,0.0006598776232853242
h5__REM_epochs_mean,0.0006592259580876346
report__confidence_lps_max,0.0006570665828880114
report__confidence_last_sleep_std,0.0006527777777777777
h5__eeg4_alpha_power_std_max,0.0006514588079914782
h5__eeg2_skew_std_min,0.0006499999999999969
report__confidence_rem_latency_mean,0.0006489219961240314
h5__eeg4_delta_sigma_ratio_std_median,0.0006489207689628273
report__nrem_percentage_max,0.0006460970519600606
h5__eeg1_beta_relative_power_median_max,0.0006460785967016462
h5__eeg2_skew_std_mean,0.0006447043044045705
h5__eeg4_zero_crossings_mean_max,0.0006378373291772194
h5__eeg2_delta_power_median_min,0.000635181872744754
report__awakenings_min,0.0006307959173593062
