feature,nrev_mean,ssp_mean,absolute_standardised_difference,importance
confidence_lps_min,34.16268086127024,45.985638297872335,0.34343544559053024,0.0006301408071955229
confidence_rem_percentage_mean,49.31257404276642,49.58119135332342,0.010464531390658931,0.0006258208165675815
confidence_n1_duration_std,27.024233398864816,27.087132146649925,0.005345288278233154,0.000622180217169272
confidence_rem_duration_std,24.172642366080954,26.724988073358645,0.2397722277278974,0.0005772305928417559
confidence_nrem_percentage_std,21.73399472857627,25.624890845676564,0.3683225504934444,0.0005754492888226386
confidence_nrem_duration_std,26.09858126246118,27.041190543251684,0.08518376697204671,0.0005597768997306601
confidence_nrem_duration_mean,50.436452158549336,47.4826642015983,0.11607745812457924,0.0005532689004858173
confidence_sol_std,27.339972511902737,20.515293037083275,0.5083232863979978,0.0005374615522179392
confidence_waso_mean,47.96175814280891,53.93123825047483,0.23818060276703584,0.0005228864189153223
confidence_sol_min,35.40393344785136,37.89610315985699,0.06983428444178418,0.0005104286747596378
confidence_lps_max,95.1324964100273,97.64973069823714,0.5187613546808141,0.0004920365348976876
respiration_rate_n2_mean,15.993302962229846,16.5748929733222,0.2556870709841226,0.000479738082105144
confidence_sleep_efficiency_mean,59.7099371216761,58.60079712242121,0.043330019949944704,0.0004714384127858999
confidence_n3_percentage_mean,52.31508672699053,41.95119400060071,0.4092356238858915,0.0004697397827593614
average_respiration_rate_max,17.395181943867275,18.283684210526314,0.29900611282241524,0.0004694310885230241
confidence_lps_std,26.29381604544546,17.574889950241698,0.6702378333856346,0.0004518625724382722
confidence_n3_duration_std,26.856035499347303,24.792741792408176,0.19028174742088244,0.00043838875260490044
confidence_n3_percentage_std,24.492969809409466,24.448534096944737,0.004274816565602219,0.00039972485081184075
confidence_tst_mean,49.817204145346835,50.713317104786334,0.033669971361764466,0.0003640137853297433
respiration_rate_n2_std,1.103937043418083,0.8383763031425262,0.36340503361779286,0.000360429685963446
confidence_rem_duration_median,56.871915770944,50.33260804091759,0.20809177146964694,0.0003588819092398413
confidence_n2_percentage_max,74.56512467423762,78.9787234042553,0.1986877979069489,0.0003586378163471312
confidence_nrem_duration_min,17.807789104541598,11.084,0.27875895887235425,0.00035214536825532
confidence_n2_duration_min,28.441774097055887,13.131578947368423,0.6008861545156,0.00034788228205669526
confidence_sleep_efficiency_min,23.256175361587783,16.021684210526317,0.2539944558115366,0.00033971810204903115
confidence_tst_median,53.42590555955114,53.05622261124198,0.010450297805483889,0.0003296062379946593
confidence_n2_duration_mean,59.03476170485826,48.58446682153287,0.42965858487071606,0.0003209236142120056
confidence_n2_duration_std,21.720188475621292,24.191506938445908,0.24972216043916498,0.00026841749075983117
confidence_n1_percentage_mean,31.393845814584918,41.631965218680996,0.3971777665673913,0.0002676898792590803
confidence_n3_duration_mean,53.74338012838851,39.26298871495527,0.5746646004102548,0.00026280142691771896
confidence_n1_percentage_median,30.24880543750754,42.75675531914893,0.3643642107693833,0.00025864692556625137
confidence_rem_percentage_min,21.17082459146367,11.798617021276597,0.38660475370858743,0.00023388977212507694
respiration_rate_n3_min,15.49092874448454,16.001595744680852,0.2322994214958993,0.00022440288703993238
respiration_rate_n3_max,18.03414819788994,18.72170212765958,0.2065786376066247,0.00016084520956445795
confidence_waso_median,43.23278069280547,56.82450650299823,0.39171357196126944,0.00015821254292079336
confidence_waso_std,31.627472676935298,29.558982153577702,0.17500311013136724,0.0001401496584918284
confidence_rem_percentage_median,53.02913675424349,50.75260638297872,0.07111916454259072,0.00013608540582227383
respiration_rate_n1_min,13.728115799288425,14.407314223186626,0.36450602800644494,0.00011064277281384618
respiration_rate_n3_mean,16.624423853481293,17.175016299243634,0.22626945394362102,0.00010242354992914015
confidence_sol_max,97.47296283645824,97.11148936170213,0.06897704830277801,8.939717201082984e-05
respiration_rate_n2_min,14.657399329771266,15.465684210526316,0.3638103936110598,7.729171266127888e-05
