threshold,balanced_accuracy,macro_f1,sensitivity,specificity,tn,fp,fn,tp
0.10706988253496925,0.868421052631579,0.6582849774339137,1.0,0.7368421052631579,70,25,0,11
0.09922611456937233,0.8631578947368421,0.6498983739837398,1.0,0.7263157894736842,69,26,0,11
0.09684936917269157,0.8578947368421053,0.6416677100287967,1.0,0.7157894736842105,68,27,0,11
0.7517626357612022,0.85311004784689,0.8678633757167789,0.7272727272727273,0.9789473684210527,93,2,3,8
0.09615236825349721,0.8526315789473684,0.6335802469135803,1.0,0.7052631578947368,67,28,0,11
0.6442832717056755,0.8478468899521532,0.8478468899521532,0.7272727272727273,0.968421052631579,92,3,3,8
0.08890295623721918,0.8473684210526315,0.6256241627085617,1.0,0.6947368421052632,66,29,0,11
0.07067888881399899,0.8421052631578947,0.6177884615384616,1.0,0.6842105263157895,65,30,0,11
0.06820223706004284,0.831578947368421,0.6024378809188936,1.0,0.6631578947368421,63,32,0,11
0.06424242603413109,0.8263157894736842,0.5949044585987262,1.0,0.6526315789473685,62,33,0,11
0.06313050046683588,0.8210526315789474,0.5874542124542125,1.0,0.6421052631578947,61,34,0,11
0.05834662772866827,0.8157894736842105,0.5800792303338993,1.0,0.631578947368421,60,35,0,11
0.8677172435824386,0.8129186602870813,0.8554676847559313,0.6363636363636364,0.9894736842105263,94,1,4,7
0.05764273430188926,0.8105263157894738,0.5727720555306762,1.0,0.6210526315789474,59,36,0,11
0.8396255553986186,0.8076555023923445,0.834375,0.6363636363636364,0.9789473684210527,93,2,4,7
0.05675858027425302,0.8052631578947369,0.5655256452863631,1.0,0.6105263157894737,58,37,0,11
0.055544258243625175,0.8,0.5583333333333333,1.0,0.6,57,38,0,11
0.053901421521006944,0.7947368421052632,0.5511887960047769,1.0,0.5894736842105263,56,39,0,11
0.05382365968101066,0.7894736842105263,0.5440860215053763,1.0,0.5789473684210527,55,40,0,11
0.0534929786293461,0.7842105263157895,0.5370192819857249,1.0,0.5684210526315789,54,41,0,11
0.05247163207504481,0.7789473684210526,0.5299831081081081,1.0,0.5578947368421052,53,42,0,11
0.05089378611886213,0.7736842105263158,0.5229722658294087,1.0,0.5473684210526316,52,43,0,11
0.04960889128293396,0.7684210526315789,0.5159817351598174,1.0,0.5368421052631579,51,44,0,11
0.9496094732679646,0.7674641148325358,0.8178694158075601,0.5454545454545454,0.9894736842105263,94,1,5,6
0.04704925577419827,0.763157894736842,0.5090066906845085,1.0,0.5263157894736842,50,45,0,11
0.04541629100934472,0.7578947368421053,0.5020424836601307,1.0,0.5157894736842106,49,46,0,11
0.04394830324434826,0.7526315789473684,0.49508462551940813,1.0,0.5052631578947369,48,47,0,11
0.04259658042376178,0.7473684210526316,0.4881287726358149,1.0,0.49473684210526314,47,48,0,11
0.04195602216763567,0.7421052631578947,0.4811707122165618,1.0,0.4842105263157895,46,49,0,11
0.04034658004356804,0.7368421052631579,0.47420634920634924,1.0,0.47368421052631576,45,50,0,11
0.0398147859625452,0.7315789473684211,0.46723169409677734,1.0,0.4631578947368421,44,51,0,11
0.9899114535704001,0.7220095693779904,0.7761689291101056,0.45454545454545453,0.9894736842105263,94,1,6,5
0.03978267567674541,0.7210526315789474,0.4532360097323601,1.0,0.4421052631578947,42,53,0,11
0.039078727932649174,0.7157894736842105,0.44620743034055727,1.0,0.43157894736842106,41,54,0,11
0.03661694562969449,0.7105263157894737,0.43915343915343913,1.0,0.42105263157894735,40,55,0,11
0.033794859316570384,0.7052631578947368,0.432070417145044,1.0,0.4105263157894737,39,56,0,11
0.03231407548914272,0.7,0.4249547920433996,1.0,0.4,38,57,0,11
0.030105078360126145,0.6947368421052631,0.4178030303030303,1.0,0.3894736842105263,37,58,0,11
0.02703534755971717,0.6894736842105263,0.410611629441146,1.0,0.37894736842105264,36,59,0,11
0.023579679042361534,0.6842105263157895,0.40337711069418386,1.0,0.3684210526315789,35,60,0,11
0.022684750345387507,0.6789473684210526,0.39609601195479593,1.0,0.35789473684210527,34,61,0,11
0.9956438436612277,0.676555023923445,0.7295918367346939,0.36363636363636365,0.9894736842105263,94,1,7,4
0.022016695892566194,0.6736842105263158,0.38876488095238093,1.0,0.3473684210526316,33,62,0,11
0.021090985894744903,0.6684210526315789,0.3813802686428902,1.0,0.3368421052631579,32,63,0,11
0.020359182293029587,0.6631578947368422,0.3739387227759321,1.0,0.3263157894736842,31,64,0,11
0.019984405208705227,0.6578947368421053,0.3664367816091954,1.0,0.3157894736842105,30,65,0,11
0.019616126262372618,0.6526315789473685,0.3588709677419355,1.0,0.30526315789473685,29,66,0,11
0.019093769814991148,0.6473684210526316,0.35123778204074174,1.0,0.29473684210526313,28,67,0,11
0.018869276550063374,0.6421052631578947,0.34353369763205827,1.0,0.28421052631578947,27,68,0,11
0.017837500857941016,0.6368421052631579,0.33575515393697214,1.0,0.2736842105263158,26,69,0,11
