dataset,model,fold_id,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,sensitivity_narcolepsy,specificity_comparison,roc_auc
report_only,random_forest,4,0.8888888888888888,0.9285714285714286,0.8615384615384616,0.8957264957264957,0.8333333333333333,0.9285714285714286,1.0,0.8571428571428571,1.0
report_only,random_forest,5,0.7777777777777778,0.6785714285714286,0.6785714285714286,0.7777777777777778,0.6785714285714286,0.6785714285714286,0.5,0.8571428571428571,0.8571428571428572
report_only,random_forest,6,0.9,0.9375,0.8666666666666667,0.9066666666666666,0.8333333333333333,0.9375,1.0,0.875,0.9375
report_only,random_forest,7,0.6,0.5238095238095238,0.5238095238095238,0.6,0.5238095238095238,0.5238095238095238,0.3333333333333333,0.7142857142857143,0.6666666666666666
report_only,random_forest,8,0.7777777777777778,0.6785714285714286,0.6785714285714286,0.7777777777777778,0.6785714285714286,0.6785714285714286,0.5,0.8571428571428571,0.8571428571428572
report_only,random_forest,9,0.8888888888888888,0.75,0.8,0.874074074074074,0.9375,0.75,0.5,1.0,1.0
report_only,random_forest,10,0.6666666666666666,0.6071428571428572,0.5846153846153846,0.6871794871794872,0.5833333333333334,0.6071428571428572,0.5,0.7142857142857143,0.8571428571428572
report_only,random_forest,11,0.9,0.9375,0.8666666666666667,0.9066666666666666,0.8333333333333333,0.9375,1.0,0.875,0.9375
report_only,random_forest,12,0.8,0.7619047619047619,0.7619047619047619,0.8,0.7619047619047619,0.7619047619047619,0.6666666666666666,0.8571428571428571,0.7619047619047619
report_only,random_forest,13,0.4444444444444444,0.4642857142857143,0.41558441558441556,0.48773448773448774,0.475,0.4642857142857143,0.5,0.42857142857142855,0.6428571428571429
report_only,random_forest,14,0.5555555555555556,0.35714285714285715,0.35714285714285715,0.5555555555555556,0.35714285714285715,0.35714285714285715,0.0,0.7142857142857143,0.7142857142857143
report_only,random_forest,15,0.6666666666666666,0.42857142857142855,0.4,0.6222222222222222,0.375,0.42857142857142855,0.0,0.8571428571428571,0.7142857142857142
report_only,random_forest,16,0.7,0.625,0.6000000000000001,0.72,0.5952380952380952,0.625,0.5,0.75,0.625
report_only,random_forest,17,0.5,0.35714285714285715,0.3333333333333333,0.4666666666666666,0.3125,0.35714285714285715,0.0,0.7142857142857143,0.5714285714285714
report_only,random_forest,18,0.8888888888888888,0.75,0.8,0.874074074074074,0.9375,0.75,0.5,1.0,1.0
report_only,random_forest,19,0.8888888888888888,0.75,0.8,0.874074074074074,0.9375,0.75,0.5,1.0,1.0
report_only,random_forest,20,0.6666666666666666,0.7857142857142857,0.6493506493506493,0.6926406926406927,0.7,0.7857142857142857,1.0,0.5714285714285714,0.8571428571428572
report_only,random_forest,21,0.8,0.875,0.7619047619047619,0.819047619047619,0.75,0.875,1.0,0.75,0.875
report_only,random_forest,22,0.7,0.6904761904761905,0.6703296703296704,0.7098901098901099,0.6666666666666667,0.6904761904761905,0.6666666666666666,0.7142857142857143,0.7619047619047619
report_only,random_forest,23,0.7777777777777778,0.6785714285714286,0.6785714285714286,0.7777777777777778,0.6785714285714286,0.6785714285714286,0.5,0.8571428571428571,0.5714285714285714
report_only,random_forest,24,0.8888888888888888,0.75,0.8,0.874074074074074,0.9375,0.75,0.5,1.0,0.9285714285714286
