feature,source,family
h5__eeg1_sigma_relative_power_median_mean,h5,spectral_power
h5__eeg1_beta_power_mean_mean,h5,spectral_power
h5__eeg1_beta_power_std_mean,h5,spectral_power
h5__eeg1_beta_power_median_mean,h5,spectral_power
h5__eeg1_beta_relative_power_mean_mean,h5,spectral_power
h5__eeg1_beta_relative_power_std_mean,h5,spectral_power
h5__eeg1_beta_relative_power_median_mean,h5,spectral_power
h5__eeg1_theta_alpha_ratio_mean_mean,h5,spectral_ratio
h5__eeg1_theta_alpha_ratio_std_mean,h5,spectral_ratio
h5__eeg1_theta_alpha_ratio_median_mean,h5,spectral_ratio
h5__eeg1_delta_beta_ratio_mean_mean,h5,spectral_ratio
h5__eeg1_delta_beta_ratio_std_mean,h5,spectral_ratio
h5__eeg1_delta_beta_ratio_median_mean,h5,spectral_ratio
h5__eeg1_delta_sigma_ratio_mean_mean,h5,spectral_ratio
h5__eeg1_delta_sigma_ratio_std_mean,h5,spectral_ratio
h5__eeg1_delta_sigma_ratio_median_mean,h5,spectral_ratio
h5__eeg2_mean_mean_mean,h5,time_domain
h5__eeg2_mean_std_mean,h5,time_domain
h5__eeg2_mean_median_mean,h5,time_domain
h5__eeg2_std_mean_mean,h5,time_domain
h5__eeg2_std_std_mean,h5,time_domain
h5__eeg2_std_median_mean,h5,time_domain
h5__eeg2_iqr_mean_mean,h5,time_domain
h5__eeg2_iqr_std_mean,h5,time_domain
h5__eeg2_iqr_median_mean,h5,time_domain
h5__eeg2_skew_mean_mean,h5,time_domain
h5__eeg2_skew_std_mean,h5,time_domain
h5__eeg2_skew_median_mean,h5,time_domain
h5__eeg2_kurtosis_mean_mean,h5,time_domain
h5__eeg2_kurtosis_std_mean,h5,time_domain
h5__eeg2_kurtosis_median_mean,h5,time_domain
h5__eeg2_zero_crossings_mean_mean,h5,time_domain
h5__eeg2_zero_crossings_std_mean,h5,time_domain
h5__eeg2_zero_crossings_median_mean,h5,time_domain
h5__eeg2_hjorth_mobility_mean_mean,h5,hjorth
h5__eeg2_hjorth_mobility_std_mean,h5,hjorth
h5__eeg2_hjorth_mobility_median_mean,h5,hjorth
h5__eeg2_hjorth_complexity_mean_mean,h5,hjorth
h5__eeg2_hjorth_complexity_std_mean,h5,hjorth
h5__eeg2_hjorth_complexity_median_mean,h5,hjorth
h5__eeg2_total_power_0p5_30_mean_mean,h5,spectral_power
h5__eeg2_total_power_0p5_30_std_mean,h5,spectral_power
h5__eeg2_total_power_0p5_30_median_mean,h5,spectral_power
h5__eeg2_delta_power_mean_mean,h5,spectral_power
h5__eeg2_delta_power_std_mean,h5,spectral_power
h5__eeg2_delta_power_median_mean,h5,spectral_power
h5__eeg2_delta_relative_power_mean_mean,h5,spectral_power
h5__eeg2_delta_relative_power_std_mean,h5,spectral_power
h5__eeg2_delta_relative_power_median_mean,h5,spectral_power
h5__eeg2_theta_power_mean_mean,h5,spectral_power
h5__eeg2_theta_power_std_mean,h5,spectral_power
h5__eeg2_theta_power_median_mean,h5,spectral_power
h5__eeg2_theta_relative_power_mean_mean,h5,spectral_power
h5__eeg2_theta_relative_power_std_mean,h5,spectral_power
h5__eeg2_theta_relative_power_median_mean,h5,spectral_power
h5__eeg2_alpha_power_mean_mean,h5,spectral_power
h5__eeg2_alpha_power_std_mean,h5,spectral_power
h5__eeg2_alpha_power_median_mean,h5,spectral_power
h5__eeg2_alpha_relative_power_mean_mean,h5,spectral_power
h5__eeg2_alpha_relative_power_std_mean,h5,spectral_power
h5__eeg2_alpha_relative_power_median_mean,h5,spectral_power
h5__eeg2_sigma_power_mean_mean,h5,spectral_power
h5__eeg2_sigma_power_std_mean,h5,spectral_power
h5__eeg2_sigma_power_median_mean,h5,spectral_power
h5__eeg2_sigma_relative_power_mean_mean,h5,spectral_power
h5__eeg2_sigma_relative_power_std_mean,h5,spectral_power
h5__eeg2_sigma_relative_power_median_mean,h5,spectral_power
h5__eeg2_beta_power_mean_mean,h5,spectral_power
h5__eeg2_beta_power_std_mean,h5,spectral_power
h5__eeg2_beta_power_median_mean,h5,spectral_power
h5__eeg2_beta_relative_power_mean_mean,h5,spectral_power
h5__eeg2_beta_relative_power_std_mean,h5,spectral_power
h5__eeg2_beta_relative_power_median_mean,h5,spectral_power
h5__eeg2_theta_alpha_ratio_mean_mean,h5,spectral_ratio
h5__eeg2_theta_alpha_ratio_std_mean,h5,spectral_ratio
h5__eeg2_theta_alpha_ratio_median_mean,h5,spectral_ratio
h5__eeg2_delta_beta_ratio_mean_mean,h5,spectral_ratio
h5__eeg2_delta_beta_ratio_std_mean,h5,spectral_ratio
h5__eeg2_delta_beta_ratio_median_mean,h5,spectral_ratio
h5__eeg2_delta_sigma_ratio_mean_mean,h5,spectral_ratio
h5__eeg2_delta_sigma_ratio_std_mean,h5,spectral_ratio
h5__eeg2_delta_sigma_ratio_median_mean,h5,spectral_ratio
h5__eeg3_mean_mean_mean,h5,time_domain
h5__eeg3_mean_std_mean,h5,time_domain
h5__eeg3_mean_median_mean,h5,time_domain
h5__eeg3_std_mean_mean,h5,time_domain
h5__eeg3_std_std_mean,h5,time_domain
h5__eeg3_std_median_mean,h5,time_domain
h5__eeg3_iqr_mean_mean,h5,time_domain
h5__eeg3_iqr_std_mean,h5,time_domain
h5__eeg3_iqr_median_mean,h5,time_domain
h5__eeg3_skew_mean_mean,h5,time_domain
h5__eeg3_skew_std_mean,h5,time_domain
h5__eeg3_skew_median_mean,h5,time_domain
h5__eeg3_kurtosis_mean_mean,h5,time_domain
h5__eeg3_kurtosis_std_mean,h5,time_domain
h5__eeg3_kurtosis_median_mean,h5,time_domain
h5__eeg3_zero_crossings_mean_mean,h5,time_domain
h5__eeg3_zero_crossings_std_mean,h5,time_domain
h5__eeg3_zero_crossings_median_mean,h5,time_domain
h5__eeg3_hjorth_mobility_mean_mean,h5,hjorth
h5__eeg3_hjorth_mobility_std_mean,h5,hjorth
h5__eeg3_hjorth_mobility_median_mean,h5,hjorth
h5__eeg3_hjorth_complexity_mean_mean,h5,hjorth
h5__eeg3_hjorth_complexity_std_mean,h5,hjorth
h5__eeg3_hjorth_complexity_median_mean,h5,hjorth
h5__eeg3_total_power_0p5_30_mean_mean,h5,spectral_power
h5__eeg3_total_power_0p5_30_std_mean,h5,spectral_power
h5__eeg3_total_power_0p5_30_median_mean,h5,spectral_power
h5__eeg3_delta_power_mean_mean,h5,spectral_power
h5__eeg3_delta_power_std_mean,h5,spectral_power
h5__eeg3_delta_power_median_mean,h5,spectral_power
h5__eeg3_delta_relative_power_mean_mean,h5,spectral_power
h5__eeg3_delta_relative_power_std_mean,h5,spectral_power
h5__eeg3_delta_relative_power_median_mean,h5,spectral_power
h5__eeg3_theta_power_mean_mean,h5,spectral_power
h5__eeg3_theta_power_std_mean,h5,spectral_power
h5__eeg3_theta_power_median_mean,h5,spectral_power
h5__eeg3_theta_relative_power_mean_mean,h5,spectral_power
h5__eeg3_theta_relative_power_std_mean,h5,spectral_power
h5__eeg3_theta_relative_power_median_mean,h5,spectral_power
h5__eeg3_alpha_power_mean_mean,h5,spectral_power
h5__eeg3_alpha_power_std_mean,h5,spectral_power
