source,feature,importance
Dreem combined,report__confidence_n3_percentage_mean,0.015124255318864
Dreem combined,h5__eeg4_iqr_std_min,0.0150619326177946
Dreem combined,report__confidence_n1_percentage_mean,0.0137612143203195
Dreem advanced H5,eeg4_theta_alpha_ratio_mean_min,0.8248238322377233
Dreem advanced H5,eeg4_theta_alpha_ratio_std_median,0.7683925011332317
Dreem advanced H5,eeg4_theta_alpha_ratio_std_min,0.761456182211666
Dreem advanced H5,eeg4_delta_sigma_ratio_mean_min,0.6269945083817884
Dreem advanced H5,eeg2_slowwave_mean_envelope_mean_min,0.5997410831232772
Dreem advanced H5,eeg4_iqr_std_min,0.546271663306326
Dreem advanced H5,eeg4_delta_sigma_ratio_std_min,0.5119941823828674
Dreem advanced H5,eeg1_theta_alpha_ratio_std_mean,0.5050815335834477
Dreem advanced H5,eeg4_delta_beta_ratio_std_max,0.4993705020095244
Dreem advanced H5,eeg2_theta_alpha_ratio_std_std,0.4900810088803809
Dreem advanced H5,eeg2_iqr_mean_min,0.4559176772388602
Dreem advanced H5,eeg2_theta_alpha_ratio_std_max,0.4406645659918478
Dreem advanced H5,eeg1_delta_beta_ratio_mean_median,0.4103152217015562
Dreem advanced H5,eeg4_alpha_power_std_std,0.4033047169200652
Dreem advanced H5,eeg4_theta_power_std_std,0.4031379340592192
Dreem advanced H5,eeg4_theta_power_std_mean,0.3740648804882608
Dreem advanced H5,eeg4_delta_beta_ratio_mean_min,0.3688297400279021
Dreem advanced H5,eeg2_mean_std_mean,0.3500108240293625
Dreem advanced H5,eeg4_iqr_mean_min,0.3292909809570307
Dreem advanced H5,eeg2_theta_alpha_ratio_std_mean,0.3215222791150727
Dreem advanced H5,eeg4_theta_alpha_ratio_std_mean,0.3174862623428631
Dreem advanced H5,eeg4_mean_std_min,0.2928909750693192
Dreem advanced H5,eeg4_delta_sigma_ratio_mean_median,0.2820596386922332
Dreem advanced H5,eeg4_theta_alpha_ratio_mean_median,0.2578123922875989
Dreem advanced H5,eeg4_mean_median_min,0.241614810391965
CNC EDF permutation,n_epochs_median,0.0015151515151515
CNC EDF,f3_kurtosis_mean_max,0.0399992775672689
CNC EDF,f3_kurtosis_mean_min,0.0302987514044699
CNC EDF,n_epochs_mean,0.0292959245964967
CNC EDF,n_epochs_max,0.028992750444393
CNC EDF,n_epochs_median,0.0276542751058437
CNC EDF,f3_kurtosis_mean_mean,0.0235924267049635
CNC EDF,f3_kurtosis_mean_median,0.0227698750624217
CNC EDF,f4_kurtosis_mean_median,0.0216876264777724
CNC EDF,f4_kurtosis_mean_min,0.0198725380660388
CNC EDF,f4_kurtosis_mean_mean,0.0191689066978129
CNC EDF,N1_epochs_mean,0.0141726586399942
CNC EDF,n_epochs_min,0.0132025033666984
CNC EDF,f4_kurtosis_mean_max,0.0121749592847178
CNC EDF,N2_percentage_mean,0.011597322610962
